density;residual sugar;alcohol;total sulfur dioxide;chlorides;free sulfur dioxide;volatile acidity;citric acid;quality
0.991;1.1;10.9;82.0;0.057;21.0;0.16;0.33;7
0.9911;1.0;10.9;108.0;0.045;39.0;0.18;0.35;6
0.993;0.9;9.1;132.0;0.147;38.0;0.2;0.59;6
0.9908;1.3;11.0;191.0;0.039;29.0;0.25;0.35;6
0.9962;11.9;9.6;213.0;0.043;37.0;0.21;0.34;6
0.9972;12.4;8.9;147.0;0.048;50.0;0.19;0.26;6
0.9931;4.6;10.2;78.0;0.044;25.0;0.38;0.15;6
0.9926;1.2;9.9;111.0;0.038;44.0;0.2;0.36;6
0.9951;4.9;8.6;123.0;0.092;30.0;0.22;0.24;6
0.9972;12.4;8.9;147.0;0.048;50.0;0.19;0.26;6
0.991;1.1;10.5;151.0;0.035;17.0;0.47;0.07;5
0.9931;4.6;10.2;78.0;0.044;25.0;0.38;0.15;6
0.9927;1.4;10.3;122.0;0.038;31.0;0.24;0.27;6
0.9934;1.2;9.1;120.0;0.064;29.0;0.35;0.03;5
0.9903;6.4;12.6;124.0;0.04;27.0;0.26;0.24;7
0.992;1.2;9.8;174.0;0.041;81.0;0.25;0.13;5
0.9926;2.1;10.7;96.0;0.046;30.0;0.23;0.31;8
0.9962;10.1;9.5;105.0;0.05;21.0;0.24;0.29;5
0.9956;7.8;9.0;244.0;0.056;48.0;0.27;0.43;6
0.9958;4.6;9.5;238.5;0.061;50.5;0.3;0.23;5
0.9964;4.8;10.0;201.0;0.063;31.0;0.27;0.28;5
0.9941;1.0;9.1;72.0;0.054;9.0;0.23;0.46;6
0.9926;2.1;10.7;96.0;0.046;30.0;0.23;0.31;8
0.9962;10.1;9.5;105.0;0.05;21.0;0.24;0.29;5
0.9898;1.4;12.7;87.0;0.043;31.0;0.18;0.36;7
0.9912;1.3;12.0;69.0;0.042;20.0;0.32;0.34;7
0.9961;8.8;9.3;103.0;0.064;26.0;0.18;0.3;5
0.9949;5.4;9.0;105.0;0.06;21.0;0.54;0.28;5
0.9929;1.4;10.6;114.0;0.053;34.0;0.22;0.31;6
0.9985;16.0;9.2;166.0;0.05;51.0;0.2;0.34;6
0.9946;6.1;10.0;164.0;0.063;47.0;0.34;0.2;5
0.9966;8.2;9.5;207.0;0.047;42.0;0.22;0.3;6
0.9974;11.8;8.7;155.0;0.045;54.0;0.43;0.61;5
0.9975;11.8;8.7;152.0;0.044;52.0;0.44;0.62;6
0.9974;11.0;8.7;156.0;0.044;55.0;0.39;0.63;6
0.9972;13.3;9.7;202.0;0.05;69.0;0.25;0.31;6
0.9974;11.8;8.7;155.0;0.045;54.0;0.43;0.61;5
0.9975;11.8;8.7;152.0;0.044;52.0;0.44;0.62;6
0.9974;11.0;8.7;156.0;0.044;55.0;0.39;0.63;6
0.9957;7.5;9.0;243.0;0.049;65.0;0.27;0.43;5
0.99;1.7;12.6;136.0;0.035;47.0;0.24;0.33;7
0.9899;1.8;12.6;136.0;0.034;48.0;0.21;0.33;7
0.9916;1.7;11.5;148.0;0.04;51.0;0.17;0.32;7
0.9969;12.4;9.2;240.0;0.044;62.0;0.26;0.29;6
0.9979;15.9;8.8;164.0;0.046;26.0;0.34;0.66;6
0.9913;1.2;11.4;80.0;0.034;15.0;0.265;0.36;7
0.9956;10.5;10.1;83.0;0.038;4.0;0.36;0.46;4
0.9979;15.9;8.8;164.0;0.046;26.0;0.34;0.66;6
0.9975;13.5;9.1;192.0;0.06;52.0;0.25;0.37;5
0.9962;9.6;9.4;162.0;0.054;64.0;0.12;0.32;5
0.997;12.1;9.4;164.0;0.05;55.0;0.21;0.24;5
1.0;18.9;9.0;170.0;0.059;44.0;0.305;0.4;5
0.9975;13.5;9.1;192.0;0.06;52.0;0.25;0.37;5
0.9974;14.4;9.2;109.0;0.051;34.0;0.13;0.32;6
0.9962;9.6;9.4;162.0;0.054;64.0;0.12;0.32;5
0.999;16.5;9.1;171.0;0.04;60.0;0.23;0.35;6
0.999;16.5;9.1;171.0;0.04;60.0;0.23;0.35;6
0.9927;1.3;10.3;187.0;0.051;37.0;0.33;0.28;5
0.9959;8.5;8.8;163.0;0.082;64.0;0.17;0.54;6
1.0;18.75;8.9;255.0;0.052;45.0;0.27;0.46;5
0.9982;13.3;9.2;195.0;0.056;68.0;0.31;0.5;5
0.9968;9.2;9.1;150.0;0.049;29.0;0.41;0.34;5
0.9968;9.2;9.1;150.0;0.049;29.0;0.41;0.34;5
0.994;1.5;9.7;103.0;0.065;8.0;0.485;0.0;4
0.9914;3.3;11.3;143.0;0.041;25.0;0.31;0.24;6
0.9911;1.7;11.8;85.0;0.035;16.0;0.14;0.4;6
0.9982;13.3;9.2;195.0;0.056;68.0;0.31;0.5;5
0.9982;13.3;9.2;196.0;0.06;57.0;0.32;0.48;5
0.9934;5.7;10.2;87.0;0.046;21.0;0.36;0.04;5
0.9984;12.2;8.8;138.0;0.054;42.0;0.24;0.32;5
0.9952;6.85;9.7;131.0;0.059;31.0;0.16;0.31;5
0.9952;5.0;9.1;146.0;0.058;14.0;0.19;0.28;6
0.9928;1.6;9.8;158.0;0.092;40.0;0.13;0.47;6
0.9912;1.1;11.0;143.0;0.026;63.0;0.19;0.36;6
0.994;7.0;10.5;126.0;0.033;29.0;0.39;0.23;5
0.9958;7.6;9.7;203.0;0.038;48.0;0.24;0.32;7
0.9924;2.8;10.9;179.0;0.044;47.0;0.3;0.56;7
0.9924;2.7;10.9;184.0;0.046;46.0;0.3;0.56;6
0.994;10.4;10.6;57.0;0.02;7.0;0.26;0.25;5
0.9958;7.6;9.7;203.0;0.038;48.0;0.24;0.32;7
0.9979;13.1;9.0;241.0;0.038;59.0;0.425;0.4;5
0.9982;15.8;9.2;188.0;0.035;46.0;0.24;0.27;5
0.9961;8.1;8.9;203.0;0.034;55.0;0.27;0.22;5
0.9979;15.7;9.6;179.0;0.036;44.0;0.27;0.31;5
0.992;1.2;10.7;121.0;0.027;36.0;0.23;0.4;6
0.9975;10.5;8.7;155.0;0.045;49.0;0.37;0.67;5
0.9917;1.9;10.8;96.0;0.035;30.0;0.19;0.36;7
0.9923;1.9;11.8;79.0;0.029;18.0;0.28;0.39;6
0.9927;2.2;10.2;77.0;0.045;20.0;0.31;0.34;5
0.9975;10.5;8.7;155.0;0.045;49.0;0.37;0.67;5
0.992;1.2;10.8;107.0;0.039;38.0;0.21;0.4;6
0.9947;4.3;9.7;99.0;0.036;24.0;0.21;0.41;6
0.9921;2.0;11.2;87.0;0.037;19.0;0.2;0.4;6
0.9905;1.1;10.9;114.0;0.04;37.0;0.255;0.37;6
0.9918;1.4;10.1;168.0;0.044;53.0;0.16;0.27;6
0.9951;5.2;9.0;97.0;0.058;15.0;0.595;0.14;4
0.9917;4.6;12.0;80.0;0.034;19.0;0.34;0.33;7
0.994;4.1;9.4;116.0;0.054;23.0;0.25;0.3;6
0.9934;8.0;11.5;152.0;0.043;46.0;0.22;0.38;7
0.9968;10.2;9.9;135.0;0.055;58.0;0.18;0.46;6
0.994;4.1;9.4;116.0;0.054;23.0;0.25;0.3;6
0.9919;1.2;10.4;97.0;0.048;41.0;0.18;0.41;5
0.9966;7.5;9.7;76.0;0.049;12.0;0.23;0.4;6
0.9979;14.0;8.9;198.0;0.066;48.0;0.24;0.42;6
0.9979;14.0;8.9;198.0;0.066;48.0;0.24;0.42;6
0.9898;1.5;12.4;124.0;0.036;38.0;0.32;0.24;7
0.9894;1.4;12.1;119.0;0.036;43.0;0.44;0.04;8
0.9894;1.4;12.1;119.0;0.036;43.0;0.44;0.04;8
0.9898;1.5;12.4;124.0;0.036;38.0;0.32;0.24;7
0.998;14.5;9.1;159.0;0.055;27.0;0.22;0.56;5
0.9932;4.8;10.6;85.0;0.049;14.0;0.36;0.3;5
0.9979;14.0;8.9;198.0;0.066;48.0;0.24;0.42;6
0.997;13.1;9.5;205.0;0.05;64.0;0.24;0.35;5
0.9972;13.0;9.8;177.0;0.051;72.0;0.23;0.36;5
0.9974;8.7;9.6;197.0;0.048;39.0;0.27;0.46;6
0.9896;2.4;12.6;98.0;0.034;25.0;0.46;0.18;7
0.9968;8.95;9.3;151.0;0.055;20.0;0.29;0.31;5
0.9958;9.85;10.0;110.0;0.034;5.0;0.42;0.48;5
0.9906;1.5;12.7;133.0;0.066;29.0;0.3;0.46;6
0.9917;1.5;11.0;96.0;0.045;17.0;0.19;0.45;6
0.9902;0.8;11.4;100.0;0.037;4.0;0.48;0.37;4
0.9918;4.55;11.5;130.0;0.038;31.0;0.22;0.43;7
0.999;17.7;10.2;173.0;0.051;33.0;0.27;0.31;5
0.9927;7.5;11.4;151.0;0.04;50.0;0.23;0.4;6
0.991;5.1;12.6;65.0;0.044;19.0;0.32;0.47;4
0.9972;12.9;9.4;170.0;0.054;57.0;0.23;0.3;5
0.9931;1.2;8.7;108.0;0.06;9.0;0.67;0.07;4
0.995;5.5;9.2;176.0;0.049;41.0;0.25;0.32;6
0.9951;5.5;9.3;173.0;0.048;42.0;0.33;0.31;6
0.9936;1.2;9.2;183.0;0.053;61.0;0.34;0.15;5
1.001;22.0;8.7;167.0;0.048;48.0;0.28;0.4;5
0.9979;14.0;9.6;227.0;0.05;64.0;0.27;0.4;6
0.997;11.9;9.3;226.0;0.043;64.0;0.26;0.56;5
0.9972;11.9;9.3;230.0;0.043;66.0;0.29;0.56;5
0.9954;9.4;9.9;166.0;0.04;49.0;0.24;0.41;6
0.9924;4.2;11.0;119.0;0.038;42.0;0.3;0.23;5
0.9906;3.8;12.7;109.0;0.034;26.0;0.53;0.35;8
0.9962;8.5;8.9;210.0;0.047;54.0;0.28;0.28;4
0.9962;8.5;8.9;211.0;0.052;55.0;0.28;0.28;6
1.001;22.0;8.7;167.0;0.048;48.0;0.28;0.4;5
0.9928;8.0;11.4;123.0;0.045;28.0;0.28;0.36;6
0.9942;5.1;9.6;125.0;0.055;34.0;0.15;0.34;5
0.9942;3.6;9.1;181.0;0.2;75.0;0.29;0.44;5
0.9942;3.5;9.1;180.0;0.197;76.0;0.3;0.45;6
0.9942;3.6;9.1;183.0;0.197;75.0;0.29;0.44;5
0.9961;7.8;8.9;214.0;0.052;54.0;0.26;0.24;5
0.998;13.1;8.8;204.0;0.05;52.0;0.32;0.24;5
0.9961;7.8;8.9;214.0;0.052;54.0;0.26;0.24;5
0.9984;16.1;9.3;196.0;0.049;55.0;0.27;0.26;5
0.998;13.1;8.8;204.0;0.05;52.0;0.32;0.24;5
0.9973;13.2;9.6;236.0;0.05;53.0;0.54;0.32;5
0.9949;13.9;12.0;134.0;0.034;39.0;0.26;0.34;6
0.9924;2.3;10.2;114.0;0.053;36.0;0.28;0.35;4
0.9972;11.6;8.8;153.0;0.042;45.0;0.21;0.5;5
0.9958;8.3;9.2;126.0;0.045;38.0;0.16;0.32;5
0.9968;6.2;9.9;124.0;0.049;20.0;0.44;0.88;4
0.9938;2.2;10.2;77.0;0.04;15.0;0.57;0.29;5
0.993;0.9;9.5;170.0;0.048;23.0;0.4;0.31;6
0.994;9.7;10.5;68.0;0.032;12.0;0.245;0.25;5
0.9918;1.4;11.2;111.0;0.038;35.0;0.18;0.38;7
0.9958;8.3;9.2;126.0;0.045;38.0;0.16;0.32;5
0.9944;5.3;9.7;122.0;0.051;31.0;0.13;0.29;6
0.9912;1.4;11.1;105.0;0.03;35.0;0.25;0.25;7
0.9961;9.2;9.4;152.0;0.044;55.0;0.26;0.24;5
0.9939;7.0;11.0;164.0;0.036;45.0;0.27;0.36;5
0.9961;9.2;9.4;152.0;0.044;55.0;0.26;0.24;5
0.9989;17.5;9.4;167.0;0.044;60.0;0.28;0.24;5
0.9938;7.0;11.0;161.0;0.036;43.0;0.23;0.36;5
0.9939;7.0;11.0;164.0;0.036;45.0;0.27;0.36;5
0.9971;9.5;9.1;172.0;0.07;33.0;0.685;0.21;6
0.9912;1.4;11.1;105.0;0.03;35.0;0.25;0.25;7
0.9936;0.8;9.1;144.0;0.043;33.0;0.19;0.3;6
0.9929;1.8;10.4;140.0;0.046;31.0;0.495;0.22;6
0.9998;17.8;8.7;145.0;0.046;39.0;0.24;0.41;5
0.9938;2.4;9.7;200.0;0.048;41.0;0.17;0.32;6
0.9969;10.3;9.1;272.0;0.041;66.0;0.25;0.32;6
0.9938;2.4;9.7;200.0;0.048;41.0;0.17;0.32;6
0.9998;17.8;8.7;145.0;0.046;39.0;0.24;0.41;5
0.9972;9.7;8.9;142.0;0.062;26.0;0.64;0.08;4
0.9976;7.8;9.6;194.0;0.041;38.0;0.28;0.4;6
0.9976;7.8;9.5;208.0;0.039;49.0;0.27;0.39;6
0.9979;14.3;9.0;194.0;0.058;55.0;0.23;0.38;6
0.9979;14.3;9.0;194.0;0.058;55.0;0.23;0.38;6
0.9979;14.3;9.0;194.0;0.058;55.0;0.23;0.38;6
0.9979;14.3;9.0;194.0;0.058;55.0;0.23;0.38;6
0.9972;13.2;9.6;221.0;0.044;54.0;0.52;0.32;6
0.9918;1.4;11.1;120.0;0.037;40.0;0.26;0.59;7
0.9982;15.55;9.6;159.0;0.039;28.0;0.25;0.21;6
0.9985;13.7;8.7;197.0;0.05;49.0;0.32;0.23;5
0.9944;7.8;10.4;90.0;0.031;23.0;0.31;0.26;5
0.9903;2.4;11.4;100.0;0.026;23.0;0.21;0.37;7
0.9934;2.7;9.7;218.5;0.047;64.5;0.24;0.34;6
0.9975;11.2;8.7;142.0;0.043;40.0;0.4;0.56;5
0.9923;2.0;11.3;249.5;0.038;20.0;0.18;0.36;6
0.99;2.1;12.6;139.0;0.03;26.0;0.21;0.27;7
0.9905;1.4;10.9;77.0;0.031;12.0;0.2;0.27;7
0.9905;1.4;10.9;76.0;0.03;12.0;0.19;0.26;7
0.996;10.4;10.0;119.0;0.037;18.0;0.41;0.14;5
0.9964;4.6;10.0;199.0;0.053;40.0;0.21;0.28;4
0.998;16.2;9.8;197.0;0.074;41.0;0.26;0.21;3
0.9975;11.2;8.7;142.0;0.043;40.0;0.4;0.56;5
0.9913;3.5;11.7;109.0;0.029;5.0;0.24;0.44;3
0.9932;1.5;9.3;158.0;0.054;37.0;0.24;0.39;6
0.9935;1.1;9.6;147.0;0.04;45.0;0.26;0.39;8
0.9927;5.7;11.0;97.0;0.035;8.0;0.35;0.3;7
0.9927;5.7;11.0;97.0;0.035;8.0;0.35;0.3;7
0.9912;1.8;11.8;118.0;0.032;23.0;0.23;0.39;6
0.9904;0.9;11.4;75.0;0.037;3.0;0.36;0.38;4
0.9939;5.4;10.2;108.0;0.048;36.0;0.115;0.35;6
0.9996;19.45;8.9;156.0;0.043;36.0;0.29;0.4;5
0.9944;8.2;10.2;95.0;0.036;15.0;0.28;0.4;5
0.9977;13.6;9.6;231.0;0.045;66.0;0.29;0.4;6
0.9912;1.2;10.6;167.0;0.038;22.0;0.24;0.35;6
0.9996;19.45;8.9;156.0;0.043;36.0;0.29;0.4;5
0.9965;8.3;9.2;180.0;0.053;32.0;0.32;0.26;6
0.9944;6.9;9.7;149.0;0.043;34.0;0.58;0.07;5
0.9945;7.1;9.7;145.0;0.044;34.0;0.585;0.07;6
0.9944;7.0;9.7;147.0;0.045;36.0;0.59;0.07;6
0.9965;8.3;9.2;180.0;0.053;32.0;0.32;0.26;6
0.9944;7.0;9.7;147.0;0.044;33.0;0.6;0.07;5
0.9972;13.1;9.3;148.0;0.051;44.0;0.25;0.26;5
0.9949;5.1;9.0;123.0;0.057;30.0;0.58;0.3;5
0.9966;10.7;9.5;234.0;0.046;59.0;0.29;0.54;5
0.9954;8.9;9.8;169.0;0.046;51.0;0.19;0.41;6
0.9954;9.1;9.8;166.0;0.044;50.0;0.2;0.41;6
0.9915;1.1;10.6;60.0;0.042;9.0;0.26;0.4;5
0.9919;1.2;10.6;67.0;0.044;14.0;0.32;0.34;4
0.9916;4.7;12.4;105.0;0.036;17.0;0.3;0.49;7
0.99;2.8;12.6;112.0;0.034;22.0;0.24;0.36;8
0.9909;5.0;12.3;114.0;0.039;36.0;0.31;0.58;8
0.9938;5.1;10.5;201.0;0.047;46.0;0.44;0.37;4
0.9982;15.6;9.3;196.0;0.054;51.0;0.34;0.3;5
0.9988;15.4;8.8;198.0;0.055;46.0;0.35;0.24;5
0.9961;7.2;8.8;180.0;0.056;47.0;0.32;0.25;5
0.9978;15.7;9.7;190.0;0.053;51.0;0.28;0.33;6
0.9979;14.2;9.0;192.0;0.058;49.0;0.23;0.39;7
0.9979;14.2;9.0;192.0;0.058;49.0;0.23;0.39;7
0.9979;14.2;9.0;192.0;0.058;49.0;0.23;0.39;7
0.9979;14.2;9.0;192.0;0.058;49.0;0.23;0.39;7
0.9945;5.8;10.5;155.0;0.041;53.0;0.15;0.31;6
1.0;19.8;9.1;195.0;0.066;53.0;0.28;0.42;5
0.9957;7.3;9.8;157.0;0.041;26.0;0.28;0.22;7
0.9968;1.6;8.5;182.0;0.066;34.0;0.59;0.38;3
0.9934;1.2;9.4;175.0;0.046;34.0;0.33;0.27;6
0.9976;10.6;9.4;169.0;0.045;33.0;0.39;0.7;5
0.9932;3.8;11.2;187.0;0.041;82.0;0.19;0.46;7
0.997;11.3;10.0;146.0;0.046;65.0;0.17;0.44;6
0.9923;2.1;10.3;122.0;0.043;27.0;0.17;0.5;6
0.9914;1.6;10.8;87.0;0.063;36.0;0.41;0.0;6
0.992;0.9;10.5;74.0;0.05;12.0;0.2;0.35;6
0.9914;1.6;10.8;87.0;0.063;36.0;0.41;0.0;6
0.9914;1.3;11.1;168.0;0.055;42.0;0.29;0.21;6
0.9949;6.8;9.9;163.0;0.057;41.0;0.41;0.24;6
0.9949;6.8;9.9;163.0;0.057;41.0;0.41;0.24;6
0.995;6.7;9.9;163.0;0.058;40.0;0.43;0.24;5
0.995;6.7;9.9;166.0;0.058;41.0;0.4;0.24;6
0.9927;4.9;10.4;134.0;0.036;30.0;0.33;0.27;7
0.9928;4.8;10.4;148.0;0.037;36.0;0.31;0.26;6
0.9917;2.1;11.5;100.0;0.035;16.0;0.36;0.27;7
0.9918;8.3;12.5;164.0;0.032;35.0;0.55;0.14;8
0.9954;3.7;10.0;149.0;0.042;37.0;0.25;0.41;6
0.9941;6.7;10.0;166.0;0.038;51.0;0.36;0.21;6
0.9941;6.6;10.0;167.0;0.04;50.0;0.34;0.21;5
0.9934;1.1;9.1;127.0;0.132;42.0;0.28;0.6;6
0.9927;4.7;10.6;134.0;0.031;34.0;0.25;0.34;6
0.9938;7.7;10.5;135.0;0.031;36.0;0.24;0.35;5
0.9933;7.85;11.5;133.0;0.03;19.0;0.3;0.47;7
0.9934;3.3;10.1;69.0;0.04;10.0;0.125;0.25;6
0.9927;1.1;10.3;65.0;0.041;15.0;0.1;0.24;7
0.9938;7.7;10.5;135.0;0.031;36.0;0.24;0.35;5
0.9927;4.7;10.6;134.0;0.031;34.0;0.25;0.34;6
0.9946;9.3;10.4;137.0;0.031;35.0;0.28;0.44;6
0.993;2.0;11.4;207.0;0.046;11.0;0.41;0.51;5
0.9946;5.8;10.5;313.0;0.057;131.0;0.27;0.31;5
0.9976;15.15;10.0;216.0;0.04;38.0;0.26;0.41;6
0.9944;6.3;10.0;143.0;0.039;37.0;0.34;0.23;6
0.9978;15.4;9.6;195.0;0.042;55.0;0.28;0.35;6
0.992;1.3;10.4;85.0;0.036;33.0;0.21;0.41;5
0.9912;4.8;12.5;101.0;0.03;34.0;0.32;0.35;8
0.9927;4.6;10.6;135.0;0.032;37.0;0.24;0.34;5
0.9906;1.8;11.8;91.0;0.033;16.0;0.23;0.3;6
0.9954;9.9;9.8;133.0;0.038;30.0;0.28;0.34;5
0.9923;5.7;10.8;80.0;0.031;12.0;0.26;0.26;5
0.9906;1.8;11.8;91.0;0.033;16.0;0.23;0.3;6
0.991;1.5;11.2;105.0;0.036;15.0;0.23;0.33;6
0.9972;12.3;9.3;170.0;0.045;55.0;0.27;0.27;6
0.9945;1.3;10.4;139.0;0.047;12.0;0.26;0.4;5
0.9934;1.5;10.2;141.0;0.049;49.0;0.18;0.35;7
0.9964;7.8;9.0;153.0;0.045;27.0;0.2;0.43;7
0.9948;1.5;10.0;129.0;0.047;17.0;0.24;0.36;6
0.9962;9.7;9.1;140.0;0.044;30.0;0.26;0.42;6
0.9931;3.0;10.0;144.0;0.053;46.0;0.31;0.47;5
0.993;3.0;10.0;145.0;0.052;47.0;0.29;0.47;6
0.9942;4.6;9.6;131.0;0.05;33.0;0.145;0.33;6
0.9906;1.3;11.2;68.0;0.031;20.0;0.34;0.1;7
0.9995;15.6;8.8;155.0;0.056;75.0;0.19;0.41;6
0.998;13.6;10.0;118.0;0.052;38.0;0.18;0.46;6
0.997;11.2;10.0;137.0;0.054;56.0;0.17;0.45;5
0.9914;2.1;11.4;146.0;0.044;47.0;0.12;0.36;7
0.992;6.85;11.9;138.0;0.038;32.0;0.33;0.4;7
0.9924;2.5;9.6;128.0;0.071;27.0;0.335;0.3;6
0.992;6.85;11.9;138.0;0.038;32.0;0.33;0.4;7
0.9937;4.4;9.6;245.0;0.047;38.5;0.4;0.42;6
0.9978;14.3;9.0;191.0;0.063;48.0;0.22;0.37;6
0.9978;14.3;9.0;191.0;0.063;48.0;0.22;0.37;6
0.9927;1.1;9.5;169.0;0.05;24.0;0.36;0.33;6
0.994;1.4;10.4;152.0;0.05;19.0;0.2;0.39;6
0.9935;4.7;10.6;161.0;0.04;43.0;0.24;0.34;6
0.9968;14.9;10.2;162.0;0.047;54.0;0.24;0.32;6
0.9941;1.2;8.9;84.0;0.055;24.0;0.365;0.14;5
0.9942;5.3;9.7;127.0;0.05;40.0;0.15;0.3;6
0.9978;14.3;9.0;191.0;0.063;48.0;0.22;0.37;6
0.9923;2.3;11.4;102.0;0.037;18.0;0.16;0.4;7
0.9912;3.5;12.3;113.0;0.028;29.0;0.26;0.32;7
0.9923;1.5;10.8;143.0;0.089;40.0;0.18;0.27;6
0.9927;1.0;9.4;148.0;0.053;39.0;0.33;0.21;6
0.9931;2.3;10.6;178.0;0.049;36.0;0.29;0.48;6
0.9941;12.5;11.6;72.0;0.044;26.0;0.39;0.35;5
0.9927;1.0;9.4;148.0;0.053;39.0;0.33;0.21;6
0.9931;2.3;10.6;178.0;0.049;36.0;0.29;0.48;6
0.9934;0.8;10.0;204.0;0.048;17.0;0.905;0.19;5
0.9936;2.4;9.2;149.0;0.048;30.0;0.27;0.27;6
0.9893;1.6;12.5;89.0;0.027;18.0;0.33;0.22;7
0.9893;1.6;12.5;89.0;0.027;18.0;0.33;0.22;7
0.9919;1.5;10.4;119.0;0.037;12.0;0.31;0.28;7
0.9924;1.4;10.0;98.0;0.045;21.0;0.2;0.44;7
0.9927;2.6;10.0;155.0;0.049;17.0;0.32;0.5;6
0.9919;1.5;10.4;119.0;0.037;12.0;0.31;0.28;7
0.9924;1.4;10.0;98.0;0.045;21.0;0.2;0.44;7
0.9975;12.5;9.0;179.0;0.046;48.0;0.28;0.26;6
0.9969;9.6;9.2;157.0;0.051;26.0;0.35;0.28;6
0.9936;2.4;9.2;149.0;0.048;30.0;0.27;0.27;6
0.991;3.2;11.3;125.0;0.027;20.0;0.36;0.39;7
0.9893;1.6;12.5;89.0;0.027;18.0;0.33;0.22;7
0.9906;1.5;10.8;115.0;0.026;24.0;0.17;0.56;7
0.9941;5.9;10.1;260.0;0.04;82.5;0.39;0.35;5
0.995;5.4;9.7;140.0;0.047;29.0;0.21;0.32;6
0.9983;14.9;9.3;181.0;0.032;60.0;0.3;0.38;7
0.9983;14.9;9.3;181.0;0.032;60.0;0.3;0.38;7
0.9916;1.1;10.6;66.0;0.031;13.0;0.36;0.32;5
0.9957;9.8;10.2;125.0;0.031;19.0;0.55;0.15;6
0.99;2.0;12.2;69.0;0.021;20.0;0.24;0.43;6
0.9976;11.8;8.8;163.0;0.044;62.0;0.37;0.51;5
0.992;1.3;10.0;168.0;0.04;87.0;0.27;0.12;5
0.9917;1.8;11.4;93.0;0.031;30.0;0.28;0.42;5
0.9917;1.5;11.4;107.0;0.037;35.0;0.2;0.4;6
